Bleh	CD4.positive..alpha.beta.T.cell	CD14.positive..CD16.negative.classical.monocyte	mature.neutrophil	cytotoxic.CD56.dim.natural.killer.cell	memory.B.cell	CD38.negative.naive.B.cell	macrophage	memory.CD4.positive.alpha.beta.T.cell	memory.CD8.positive.alpha.beta.T.cell
RNF14	1.110587	1.152778	1.103443	1.371429	1.127072	1.092106	1.766146	1.1875	1.235521
UBE2Q1	1.351648	1.28863	1.538878	1.605295	1.443038	1.322293	1.287671	1.425	1.696541
RNF17	0.872968	0.314905	0.815789	0.818121	0.733682	0.694053	0.73799	0.646936	0.657105
RNF10	4.511728	2.957223	9.076742	3.471115	4.125468	4.452521	2.135805	4.35376	4.608667
RNF11	1.417196	1.666339	2.199229	1.557636	1.079365	1.0	1.8	1.422474	1.395774
RNF13	2.923251	5.507094	11.171808	3.081868	5.400558	6.427799	11.60535	3.474618	3.374716
GTF2IP1	1.584851	1.537766	3.821617	1.333333	1.192771	2.295094	1.276316	1.112299	1.245614
REM2	0.951351	0.869565	1.550661	0.913983	0.974026	0.965517	0.703738	0.94697	0.88
GTF2IP4	1.326914	1.91322	6.112993	1.450704	1.117647	1.320988	1.274633	1.164022	1.191489
UCHL5	1.239442	1.156069	1.156757	1.55102	1.130978	1.162791	1.2375	1.189744	1.238095
UBE2Q2	1.342723	1.236111	1.045009	1.735389	1.264909	1.11787	1.368421	2.010509	1.325688
MZT2B	4.644469	2.702703	1.117438	7.073949	9.643045	6.292031	4.82479	10.122792	9.72034
ATRX	4.33552	2.331027	2.477662	3.323856	3.966737	5.663708	1.330396	3.471115	3.829146
PMM2	1.249981	1.183099	1.109971	1.145038	1.206522	1.245546	1.300971	1.219048	1.176955
PMM1	1.087339	1.037433	1.180488	1.023938	1.041509	1.026316	1.069364	1.12571	1.082353
NCBP1	1.403175	1.213235	1.131429	1.179221	1.178744	1.3	1.125208	1.169811	1.225379
ZNF709	0.988636	0.886821	0.960674	0.929113	0.9696	0.993056	0.823864	0.939394	0.941799
ZNF708	1.411692	1.084112	1.324895	1.087248	1.12253	1.397278	0.989417	1.109091	1.133333
ZNF879	1.015112	0.954064	0.919118	0.99723	0.972973	1.002446	0.940239	0.972824	0.966039
CAMK1	0.816901	1.944668	0.958728	1.003683	0.85172	0.854271	1.527473	0.91411	0.863269
STYXL1	1.082645	1.334286	1.310811	1.391708	1.277778	1.133758	1.412844	1.176185	1.097087
COPRS	0.966543	1.063158	0.972973	0.997347	1.091743	1.061069	2.794768	0.988372	0.980263
NCBP3	1.313918	1.321677	1.64534	1.263158	1.203747	1.227586	1.126761	1.202346	1.197531
CAMK4	6.451541	0.876254	0.798319	0.806723	0.887417	0.852273	0.484311	2.260944	1.6
ZC3H10	0.94086	1.019108	1.202247	1.0	1.014493	1.005988	0.944206	0.966942	0.983607
RNF114	2.799066	2.342857	2.02915	1.684783	2.419118	2.097821	1.566329	2.254545	2.123094
RNF115	1.152263	1.069959	1.012658	1.129635	1.02521	1.081967	1.024	1.053061	1.080808
