GENE	721_B_lymphoblasts	Adipocyte	BDCA4+_DentriticCells	BronchialEpithelialCells	CD105+_Endothelial	CD14+_Monocytes	CD19+_BCells(neg	CD33+_Myeloid	CD34+	CD4+_Tcells	CD56+_NKCells	CD71+_EarlyErythroid	CD8+_Tcells	CardiacMyocytes	Colorectaladenocarcinoma	Leukemia_chronicMyelogenousK-562	Leukemia_promyelocytic-HL-60	Leukemialymphoblastic(MOLT-4)	Lymphoma_burkitts(Daudi)	Lymphoma_burkitts(Raji)	SkeletalMuscle	SmoothMuscle	Spinalcord	TestisGermCell	TestisLeydigCell
UBE2Q1	2.325343	0.75337	2.906961	0.92	1.419355	1.794595	3.906667	1.785714	1.367222	1.616162	4.128514	0.642254	2.109922	0.613718	0.481892	1.407407	1.884206	1.426966	2.378942	0.77788	0.717201	0.816092	0.774775	2.345362	1.826566
RP5-1068H6.3	1.27599	2.696564	1.217391	1.936936	1.454719	0.915361	1.71125	0.849254	1.385714	1.445789	1.033613	0.580021	1.504348	1.17901	1.0	2.014909	1.939914	2.06576	3.527155	1.792406	0.717822	1.657438	0.536979	0.532753	0.569682
RNF17	0.924855	1.092537	0.904762	1.125	1.076142	1.058824	1.055556	0.973783	0.988764	1.0	0.913043	1.054054	1.0	1.60343	1.120482	1.085447	1.237624	1.022727	1.267241	1.32093	1.178082	1.14094	1.023256	1.496454	1.295154
RNF10	1.208813	1.618284	1.13693	1.411765	0.893258	1.35426	1.282759	0.823529	0.636525	1.008264	0.802155	7.791103	1.012007	0.769071	0.3591	1.273467	0.517271	1.290323	1.688372	0.45663	0.894644	1.93266	0.788889	2.265869	1.813482
RNF11	0.329288	2.675411	1.32615	1.735169	0.227955	0.569212	0.222447	0.597574	0.157232	0.382792	0.813953	5.542183	0.566454	0.387699	0.618361	0.295507	0.113568	0.315814	0.075544	0.207063	0.475802	2.390891	5.368885	0.566787	0.419753
RNF13	1.388393	3.60553	5.030387	0.982759	0.394923	7.915767	5.533238	5.090518	1.260684	1.42127	3.597753	0.223959	1.752439	0.416188	1.395062	0.215249	0.371917	0.295507	0.460996	0.474127	0.559535	0.504796	10.24235	1.683168	0.474805
GTF2IP1	1.012448	0.64394	1.290698	0.788402	1.307692	1.25	0.982456	1.413174	1.745092	1.282527	1.283721	1.658445	1.291139	0.445508	2.823177	0.570897	0.380975	1.296417	0.541498	2.313935	0.311791	1.384615	2.27751	1.234234	0.296452
REM1	0.94382	1.046025	0.989796	0.869565	0.909091	0.758733	0.774359	0.8	0.951974	1.032258	0.848827	1.931034	0.930612	1.400491	1.21455	1.304878	0.885375	1.02439	0.969105	1.081633	3.597753	0.763485	2.298031	0.997208	3.955215
MVB12B	0.77913	0.885496	1.032505	0.883562	0.959459	0.954023	0.99851	1.036437	1.282353	1.038898	0.92093	0.952941	1.358209	0.924855	0.885057	0.868327	0.83871	0.963636	0.878445	0.906977	0.932945	0.810811	1.661789	0.990826	0.848665
NBEAL1	1.678086	1.538231	1.65699	2.243285	2.403782	1.754892	2.95902	1.609226	2.221594	2.185586	1.645486	0.97561	2.068343	0.866667	2.749752	3.051815	3.030506	1.765347	3.552072	3.323982	0.737904	2.195299	0.285714	0.834043	0.599981
