GENE	721_B_lymphoblasts	Adipocyte	BDCA4+_DentriticCells	BronchialEpithelialCells	CD105+_Endothelial	CD14+_Monocytes	CD19+_BCells(neg	CD33+_Myeloid	CD34+	CD4+_Tcells	CD56+_NKCells	CD71+_EarlyErythroid	CD8+_Tcells	CardiacMyocytes	Colorectaladenocarcinoma	Leukemia_chronicMyelogenousK-562	Leukemia_promyelocytic-HL-60	Leukemialymphoblastic(MOLT-4)	Lymphoma_burkitts(Daudi)	Lymphoma_burkitts(Raji)	SkeletalMuscle	SmoothMuscle	Spinalcord	TestisGermCell	TestisLeydigCell
A2M	0.016103	1.785864	0.019045	0.013935	0.213982	0.013935	0.016722	0.016722	0.02369	0.014864	0.017806	0.013161	0.013935	0.021212	0.017341	0.03236	0.014554	0.015329	0.022451	0.025393	0.364016	0.061934	2.926221	1.153054	1.107842
AAK1	1.192097	0.832053	0.753019	0.605928	0.572997	1.01427	0.432492	2.353458	1.012075	11.765093	4.794731	0.487377	13.411636	0.717892	0.680571	0.544457	0.241493	0.572997	0.832053	0.542261	0.869374	0.908891	0.658617	0.689352	0.832053
ABCC4	7.112583	0.94702	1.039735	0.97351	1.821192	0.986755	1.02649	1.15894	3.423841	1.046358	1.152318	8.960265	0.960265	1.370861	1.437086	8.986755	1.0	0.768212	1.278146	2.112583	1.245033	1.198675	1.066225	0.821192	0.986755
ABCG1	0.967742	0.845878	0.917563	1.476703	0.939068	1.02509	1.476703	1.139785	1.197133	0.989247	1.232975	0.83871	0.903226	1.419355	0.896057	0.781362	0.78853	5.505376	1.197133	1.369176	1.189964	1.111111	0.946237	0.716846	0.9319
ABCG2	1.081761	0.893082	1.031447	0.90566	2.050314	0.981132	0.981132	1.194969	1.194969	1.018868	1.119497	64.993711	0.867925	1.220126	0.918239	2.36478	0.81761	0.742138	1.144654	1.283019	1.044025	1.031447	4.0	0.767296	0.918239
ABHD2	1.276923	0.969231	1.523077	0.969231	1.0	1.153846	1.076923	1.323077	1.292308	1.092308	1.923077	0.923077	0.984615	1.215385	1.0	0.907692	0.876923	0.8	1.246154	1.353846	1.123077	1.123077	1.061538	49.261538	33.307692
ABHD3	2.213705	0.696864	1.760743	0.731707	0.905923	3.454123	1.565621	3.577236	2.341463	3.591173	3.33101	0.434379	4.736353	1.063879	2.03252	1.495935	4.434379	1.186992	6.448316	1.58885	1.728223	0.898955	0.831591	0.720093	0.743322
ABLIM1	0.985644	0.376995	0.164779	0.438877	0.049041	0.034597	3.384218	0.048685	1.014356	6.986358	2.090236	0.035132	5.264913	0.085421	8.767722	0.059563	0.195631	0.037628	0.939278	0.187784	0.075613	0.049933	3.523139	1.290236	0.326705
ACADM	9.686122	1.831388	4.500649	0.749676	4.7393	1.130999	2.832685	1.377432	5.564202	1.507134	1.802853	1.444877	1.058366	0.601816	0.892348	3.618677	6.555123	2.920882	11.463035	7.859922	1.779507	0.61738	1.465629	0.957198	0.702983
ACO1	1.250545	38.056645	0.867102	3.206972	2.013072	0.727669	0.54902	0.810458	1.46841	0.562092	0.788671	0.884532	0.631808	3.363834	0.618736	0.827887	0.653595	2.43573	0.762527	1.30719	1.03268	44.331155	1.333333	3.821351	0.941176
ACOT1	1.03259	49.392796	0.895369	0.813036	1.073756	0.802744	0.974271	1.036021	1.732419	0.957118	1.03259	0.795883	0.795883	1.238422	1.341338	0.590051	0.590051	0.64494	1.049743	1.166381	1.5506	1.042882	1.108062	2.360206	0.90566
ACOT2	1.03259	49.392796	0.895369	0.813036	1.073756	0.802744	0.974271	1.036021	1.732419	0.957118	1.03259	0.795883	0.795883	1.238422	1.341338	0.590051	0.590051	0.64494	1.049743	1.166381	1.5506	1.042882	1.108062	2.360206	0.90566
