GENE	721_B_lymphoblasts	Adipocyte	BDCA4+_DentriticCells	BronchialEpithelialCells	CD105+_Endothelial	CD14+_Monocytes	CD19+_BCells(neg	CD33+_Myeloid	CD34+	CD4+_Tcells	CD56+_NKCells	CD71+_EarlyErythroid	CD8+_Tcells	CardiacMyocytes	Colorectaladenocarcinoma	Leukemia_chronicMyelogenousK-562	Leukemia_promyelocytic-HL-60	Leukemialymphoblastic(MOLT-4)	Lymphoma_burkitts(Daudi)	Lymphoma_burkitts(Raji)	SkeletalMuscle	SmoothMuscle	Spinalcord	TestisGermCell	TestisLeydigCell
AAK1	0.072179	0.044841	0.03884	0.027671	0.025171	0.058676	0.014502	0.16036	0.05851	0.874979	0.345724	0.01867	1.0	0.036173	0.033339	0.023004	0.0	0.025171	0.044841	0.022837	0.047675	0.050675	0.031672	0.034006	0.044841
ABCC4	0.771958	0.021757	0.033038	0.02498	0.128122	0.026591	0.031426	0.047542	0.323126	0.033844	0.046737	0.996777	0.023368	0.073328	0.081386	1.0	0.028203	0.0	0.062047	0.163578	0.058018	0.052377	0.036261	0.006446	0.026591
ABCG1	0.052395	0.026946	0.041916	0.158683	0.046407	0.064371	0.158683	0.088323	0.100299	0.056886	0.107784	0.025449	0.038922	0.146707	0.037425	0.013473	0.01497	1.0	0.100299	0.136228	0.098802	0.082335	0.047904	0.0	0.04491
ABCG2	0.011357	0.008438	0.010579	0.008633	0.026339	0.0098	0.0098	0.013108	0.013108	0.010384	0.011941	1.0	0.008049	0.013497	0.008827	0.031204	0.007271	0.006103	0.01233	0.01447	0.010773	0.010579	0.056499	0.006493	0.008827
ABHD2	0.009841	0.003492	0.014921	0.003492	0.004127	0.007302	0.005714	0.010794	0.010159	0.006032	0.023175	0.00254	0.00381	0.008571	0.004127	0.002222	0.001587	0.0	0.009206	0.011429	0.006667	0.006667	0.005397	1.0	0.670794
ABHD3	0.295867	0.043646	0.220548	0.04944	0.078409	0.502124	0.188103	0.522596	0.317111	0.524913	0.481653	0.0	0.715334	0.104674	0.26574	0.176516	0.665122	0.125145	1.0	0.191966	0.215141	0.07725	0.066049	0.047509	0.051371
ABLIM1	0.108901	0.039207	0.014907	0.046293	0.001654	0.0	0.383554	0.001613	0.112189	0.796022	0.235384	6.1e-05	0.598905	0.00582	1.0	0.002859	0.018439	0.000347	0.103592	0.017541	0.004697	0.001756	0.399461	0.143779	0.033448
ACADM	0.836398	0.113208	0.358968	0.013614	0.380941	0.048722	0.205398	0.071412	0.45689	0.083353	0.11058	0.077621	0.042035	0.0	0.026749	0.277764	0.548125	0.213518	1.0	0.668259	0.108431	0.001433	0.079532	0.03272	0.009315
ACO1	0.016023	0.856688	0.007265	0.060709	0.033439	0.00408	0.0	0.005971	0.020999	0.000299	0.005474	0.007663	0.001891	0.064291	0.001592	0.006369	0.002389	0.043093	0.004877	0.017317	0.011047	1.0	0.017914	0.074741	0.008957
ACOT1	0.009068	1.0	0.006256	0.004569	0.009911	0.004358	0.007873	0.009138	0.023408	0.007521	0.009068	0.004218	0.004218	0.013286	0.015394	0.0	0.0	0.001125	0.009419	0.011809	0.019682	0.009279	0.010614	0.036272	0.006467
