Bleh	CD4.positive..alpha.beta.T.cell	CD14.positive..CD16.negative.classical.monocyte	mature.neutrophil	cytotoxic.CD56.dim.natural.killer.cell	memory.B.cell	CD38.negative.naive.B.cell	macrophage	memory.CD4.positive.alpha.beta.T.cell	memory.CD8.positive.alpha.beta.T.cell
AAK1	0.328796	0.076809	0.080624	0.116268	0.04695	0.052277	0.072607	0.150098	0.179813
ABCC4	0.028597	0.023697	0.004121	0.025798	0.032176	0.019098	0.020951	0.027206	0.028203
ABCG1	0.072349	0.058198	0.17907	0.057585	0.08916	0.11134	0.098461	0.084354	0.088866
ABCG2	0.007342	0.002625	0.006239	0.008516	0.0	0.007569	0.010825	0.008908	0.007099
ABHD2	0.009745	0.033832	0.183201	0.03131	0.005475	0.00619	0.042852	0.008078	0.008723
ABHD3	0.170925	0.164238	0.677346	0.149838	0.11975	0.121765	0.136963	0.163423	0.162345
ABLIM1	0.954487	0.098021	0.110545	0.217884	0.234471	0.276095	0.100611	0.364392	0.261385
ACADM	0.059269	0.058065	0.039663	0.067696	0.200643	0.073319	0.230769	0.06596	0.062854
ACO1	0.009815	0.010371	0.008957	0.010087	0.009242	0.009473	0.042153	0.00922	0.009485
ACOT1	0.006252	0.004746	0.001706	0.006592	0.006223	0.006011	0.014314	0.007191	0.00625
ACOT2	0.0084	0.007282	0.002425	0.010847	0.008822	0.008343	0.041761	0.009408	0.009117
ACP5	0.011331	0.012761	0.007493	0.010886	0.13449	0.012161	1.0	0.011055	0.010583
ACSL1	0.017635	0.140186	0.682746	0.017744	0.018649	0.018137	0.200465	0.017166	0.017687
ACSL6	0.017368	0.002565	0.002351	0.003344	0.002001	0.001886	0.004893	0.0121	0.013533
ACSM3	0.002377	0.001807	0.001051	0.001609	0.002503	0.00452	0.000762	0.001952	0.001607
ACTA2	0.041652	0.047306	0.052335	0.047182	0.043982	0.040845	0.058161	0.045156	0.047603
ACTL6A	0.032577	0.016734	0.012696	0.022554	0.027304	0.022131	0.017984	0.030859	0.029573
ACTN1	0.135549	0.070131	0.433733	0.032777	0.028684	0.028588	0.238118	0.041224	0.033894
